Raw,Time,Amplitude
b'5\r\n',7.4154531,5
b'5\r\n',7.4155741,5
b'F9\r\n',7.4157321,249
b'F9\r\n',7.4159264,249
b'F9\r\n',7.4160808,249
b'F9\r\n',7.416238,249
b'F9\r\n',7.4180741,249
b'F\r\n',7.4183151,15
b'8\r\n',7.4184704,8
b'7\r\n',7.4185957,7
b'7\r\n',7.4187499,7
b'7\r\n',7.4189035,7
b'7\r\n',7.4190391,7
b'7\r\n',7.419175,7
b'7\r\n',7.4193164,7
b'7\r\n',7.4194337,7
b'7\r\n',7.4195371,7
b'6\r\n',7.4196388,6
b'5\r\n',7.4197406,5
b'F9\r\n',7.4199118,249
b'F8\r\n',7.4200463,248
b'F9\r\n',7.4221534,249
b'F9\r\n',7.4223944,249
b'C0\r\n',7.4225335,192
b'6\r\n',7.4226361,6
b'4\r\n',7.4227379,4
b'5\r\n',7.4228768,5
b'5\r\n',7.4229772,5
b'5\r\n',7.4230777,5
b'5\r\n',7.4231776,5
b'5\r\n',7.4232799,5
b'6\r\n',7.4233809,6
b'6\r\n',7.4234831,6
b'6\r\n',7.423585,6
b'6\r\n',7.4236862,6
b'F9\r\n',7.423854,249
b'F9\r\n',7.4262722,249
b'F8\r\n',7.4265155,248
b'F9\r\n',7.4266527,249
b'F9\r\n',7.4268287,249
b'F\r\n',7.4269302,15
b'8\r\n',7.4270312,8
b'7\r\n',7.4271319,7
b'7\r\n',7.4272323,7
b'7\r\n',7.4273354,7
b'7\r\n',7.427436,7
b'6\r\n',7.4275394,6
b'6\r\n',7.4276408,6
b'6\r\n',7.4277439,6
b'6\r\n',7.4278474,6
b'5\r\n',7.4279865,5
b'4\r\n',7.4303765,4
b'F8\r\n',7.4307838,248
b'F9\r\n',7.4309378,249
b'F8\r\n',7.4311083,248
b'F9\r\n',7.4312581,249
b'CA\r\n',7.4314037,202
b'7\r\n',7.4315074,7
b'5\r\n',7.4316141,5
b'5\r\n',7.4318659,5
b'5\r\n',7.4319867,5
b'6\r\n',7.4320901,6
b'6\r\n',7.4321916,6
b'6\r\n',7.432293,6
b'6\r\n',7.4324498,6
b'7\r\n',7.4325598,7
b'7\r\n',7.4345629,7
b'7\r\n',7.4346737,7
b'F8\r\n',7.4348452,248
b'F9\r\n',7.4349793,249
b'F9\r\n',7.4351139,249
b'F9\r\n',7.4352474,249
b'F9\r\n',7.4353793,249
b'F\r\n',7.4354833,15
b'8\r\n',7.4355832,8
b'7\r\n',7.4356825,7
b'6\r\n',7.4357828,6
b'6\r\n',7.43592,6
b'6\r\n',7.4360212,6
b'5\r\n',7.4361213,5
b'5\r\n',7.4385294,5
b'5\r\n',7.4388326,5
b'4\r\n',7.4389563,4
b'4\r\n',7.4390621,4
b'4\r\n',7.4391642,4
b'F8\r\n',7.4393007,248
b'F8\r\n',7.4394343,248
b'F9\r\n',7.4398523,249
b'F9\r\n',7.4400733,249
b'D2\r\n',7.4402379,210
b'8\r\n',7.4403658,8
b'6\r\n',7.4405119,6
b'6\r\n',7.4406177,6
b'6\r\n',7.4407213,6
b'7\r\n',7.4426554,7
b'6\r\n',7.442913,6
b'7\r\n',7.4430186,7
b'7\r\n',7.4431216,7
b'7\r\n',7.4432244,7
b'7\r\n',7.4433265,7
b'7\r\n',7.4434292,7
b'F9\r\n',7.4435649,249
b'F9\r\n',7.4436995,249
b'F9\r\n',7.4438339,249
b'F9\r\n',7.4440052,249
b'F9\r\n',7.4441434,249
b'E\r\n',7.4442449,14
b'7\r\n',7.4443464,7
b'6\r\n',7.4444473,6
b'5\r\n',7.4470421,5
b'5\r\n',7.4471564,5
b'5\r\n',7.4472639,5
b'4\r\n',7.4473709,4
b'4\r\n',7.4474774,4
b'4\r\n',7.4475865,4
b'4\r\n',7.4476932,4
b'4\r\n',7.4477999,4
b'4\r\n',7.4479136,4
b'F9\r\n',7.4480868,249
b'F9\r\n',7.44822,249
b'F9\r\n',7.4483534,249
b'F9\r\n',7.4484872,249
b'DB\r\n',7.4486214,219
b'9\r\n',7.4510981,9
b'7\r\n',7.4512175,7
b'7\r\n',7.4513288,7
b'7\r\n',7.4514361,7
b'7\r\n',7.4515425,7
b'7\r\n',7.4516536,7
b'7\r\n',7.4517973,7
b'7\r\n',7.4519433,7
b'7\r\n',7.4520457,7
b'7\r\n',7.4522013,7
b'7\r\n',7.4524147,7
b'F9\r\n',7.4525623,249
b'F9\r\n',7.4527,249
b'F9\r\n',7.4528728,249
b'F9\r\n',7.4531655,249
b'F9\r\n',7.4551631,249
b'E\r\n',7.4553315,14
b'5\r\n',7.4554623,5
b'5\r\n',7.4556217,5
b'4\r\n',7.455748,4
b'4\r\n',7.4559082,4
b'4\r\n',7.4560224,4
b'4\r\n',7.4561419,4
b'4\r\n',7.4562567,4
b'5\r\n',7.4563692,5
b'5\r\n',7.4564816,5
b'5\r\n',7.456595,5
b'5\r\n',7.4567067,5
b'F9\r\n',7.4568554,249
b'F9\r\n',7.4570355,249
b'F9\r\n',7.4593864,249
b'F9\r\n',7.4595875,249
b'E8\r\n',7.459782,232
b'9\r\n',7.4599373,9
b'7\r\n',7.4600584,7
b'7\r\n',7.4601845,7
b'7\r\n',7.4602998,7
b'7\r\n',7.4604113,7
b'7\r\n',7.4605225,7
b'7\r\n',7.460641,7
b'7\r\n',7.4607654,7
b'7\r\n',7.4609211,7
b'7\r\n',7.4610376,7
b'6\r\n',7.461161,6
b'F8\r\n',7.4613404,248
b'F9\r\n',7.4633307,249
b'F9\r\n',7.4635679,249
b'F9\r\n',7.4637181,249
b'F9\r\n',7.4639013,249
b'D\r\n',7.464013,13
b'5\r\n',7.4641273,5
b'4\r\n',7.4642402,4
b'4\r\n',7.4643511,4
b'5\r\n',7.4644614,5
b'5\r\n',7.4645718,5
b'5\r\n',7.4646835,5
b'5\r\n',7.4647936,5
b'6\r\n',7.4649429,6
b'6\r\n',7.4650562,6
b'6\r\n',7.4673472,6
b'6\r\n',7.4675853,6
b'F9\r\n',7.4677428,249
b'F9\r\n',7.4678865,249
b'F9\r\n',7.4680597,249
b'F9\r\n',7.4682194,249
b'F0\r\n',7.4683658,240
b'9\r\n',7.4684746,9
b'7\r\n',7.4685821,7
b'7\r\n',7.4686883,7
b'7\r\n',7.4687948,7
b'7\r\n',7.4689414,7
b'7\r\n',7.4690494,7
b'6\r\n',7.4691587,6
b'6\r\n',7.469265,6
b'6\r\n',7.4716017,6
b'5\r\n',7.4717232,5
b'5\r\n',7.4718755,5
b'F9\r\n',7.472029,249
b'F9\r\n',7.4723167,249
b'F9\r\n',7.4724638,249
b'F9\r\n',7.4726059,249
b'F9\r\n',7.4730617,249
b'F\r\n',7.4732033,15
b'6\r\n',7.4733309,6
b'5\r\n',7.4734567,5
b'5\r\n',7.4735729,5
b'5\r\n',7.4736849,5
b'6\r\n',7.4737984,6
b'6\r\n',7.4754009,6
b'6\r\n',7.4755186,6
b'6\r\n',7.4756262,6
b'7\r\n',7.4757336,7
b'6\r\n',7.4758657,6
b'6\r\n',7.4759958,6
b'F9\r\n',7.4761483,249
b'F9\r\n',7.4762994,249
b'F9\r\n',7.4764602,249
b'F9\r\n',7.4766123,249
b'EC\r\n',7.4767659,236
b'9\r\n',7.4768798,9
b'7\r\n',7.4770274,7
b'7\r\n',7.4771497,7
b'6\r\n',7.4772663,6
b'6\r\n',7.4796167,6
b'6\r\n',7.4798471,6
b'5\r\n',7.4800018,5
b'5\r\n',7.4801678,5
b'5\r\n',7.4802868,5
b'4\r\n',7.4804002,4
b'4\r\n',7.4805121,4
b'F9\r\n',7.4806607,249
b'F9\r\n',7.4808068,249
b'F8\r\n',7.4809869,248
b'F9\r\n',7.4811449,249
b'F9\r\n',7.4812908,249
b'11\r\n',7.4814403,17
b'6\r\n',7.4815508,6
b'6\r\n',7.483846,6
b'6\r\n',7.4839972,6
b'6\r\n',7.4841223,6
b'6\r\n',7.4842343,6
b'7\r\n',7.4843514,7
b'7\r\n',7.4844604,7
b'7\r\n',7.4845694,7
b'7\r\n',7.4846818,7
b'7\r\n',7.4847911,7
b'B4\r\n',7.4849752,180
b'F9\r\n',7.48513,249
b'F9\r\n',7.4852779,249
b'F9\r\n',7.4854271,249
b'F9\r\n',7.4855739,249
b'1B\r\n',7.4879946,27
b'6\r\n',7.4881258,6
b'6\r\n',7.4882378,6
b'5\r\n',7.4883488,5
b'5\r\n',7.4884632,5
b'5\r\n',7.4885782,5
b'4\r\n',7.4886922,4
b'4\r\n',7.4888035,4
b'4\r\n',7.4889142,4
b'4\r\n',7.4890611,4
b'5\r\n',7.4891811,5
b'4\r\n',7.4892911,4
b'F8\r\n',7.48944,248
b'F9\r\n',7.4895972,249
b'F9\r\n',7.4897553,249
b'F9\r\n',7.4919188,249
b'B1\r\n',7.4920723,177
b'8\r\n',7.4921894,8
b'7\r\n',7.4923026,7
b'7\r\n',7.4924146,7
b'7\r\n',7.4925241,7
b'7\r\n',7.4926337,7
b'7\r\n',7.492875,7
b'7\r\n',7.4930405,7
b'7\r\n',7.4931551,7
b'7\r\n',7.493647,7
b'7\r\n',7.4937731,7
b'7\r\n',7.4939185,7
b'F9\r\n',7.4940652,249
b'F9\r\n',7.4957955,249
b'F8\r\n',7.4960769,248
b'F9\r\n',7.4962296,249
b'F9\r\n',7.4964447,249
