Amplitude,Time
449,2021-09-14 14:27:48.744139
397,2021-09-14 14:27:48.751565
376,2021-09-14 14:27:48.756686
365,2021-09-14 14:27:48.760691
995,2021-09-14 14:27:48.767934
997,2021-09-14 14:27:48.773065
997,2021-09-14 14:27:48.777066
812,2021-09-14 14:27:48.780062
519,2021-09-14 14:27:48.788064
426,2021-09-14 14:27:48.793069
391,2021-09-14 14:27:48.797068
373,2021-09-14 14:27:48.801070
358,2021-09-14 14:27:48.809073
996,2021-09-14 14:27:48.813070
996,2021-09-14 14:27:48.817071
997,2021-09-14 14:27:48.821072
678,2021-09-14 14:27:48.830426
480,2021-09-14 14:27:48.834426
414,2021-09-14 14:27:48.838533
385,2021-09-14 14:27:48.846428
365,2021-09-14 14:27:48.850429
361,2021-09-14 14:27:48.854429
997,2021-09-14 14:27:48.858433
997,2021-09-14 14:27:48.866433
996,2021-09-14 14:27:48.871437
593,2021-09-14 14:27:48.874435
455,2021-09-14 14:27:48.878437
404,2021-09-14 14:27:48.887440
375,2021-09-14 14:27:48.892441
367,2021-09-14 14:27:48.895442
985,2021-09-14 14:27:48.929451
997,2021-09-14 14:27:48.930450
996,2021-09-14 14:27:48.932452
885,2021-09-14 14:27:48.933452
535,2021-09-14 14:27:48.935453
436,2021-09-14 14:27:48.964460
391,2021-09-14 14:27:48.985465
375,2021-09-14 14:27:48.994468
361,2021-09-14 14:27:49.000469
997,2021-09-14 14:27:49.016473
997,2021-09-14 14:27:49.031478
997,2021-09-14 14:27:49.033478
725,2021-09-14 14:27:49.036479
495,2021-09-14 14:27:49.038478
416,2021-09-14 14:27:49.039480
389,2021-09-14 14:27:49.041479
369,2021-09-14 14:27:49.042479
357,2021-09-14 14:27:49.044481
996,2021-09-14 14:27:49.045481
996,2021-09-14 14:27:49.047481
996,2021-09-14 14:27:49.048481
623,2021-09-14 14:27:49.049480
462,2021-09-14 14:27:49.051482
409,2021-09-14 14:27:49.052482
379,2021-09-14 14:27:49.053480
364,2021-09-14 14:27:49.055482
360,2021-09-14 14:27:49.056483
997,2021-09-14 14:27:49.057481
996,2021-09-14 14:27:49.059484
994,2021-09-14 14:27:49.061484
554,2021-09-14 14:27:49.062484
444,2021-09-14 14:27:49.063483
396,2021-09-14 14:27:49.067483
373,2021-09-14 14:27:49.071485
365,2021-09-14 14:27:49.079486
995,2021-09-14 14:27:49.083489
997,2021-09-14 14:27:49.087498
997,2021-09-14 14:27:49.095547
783,2021-09-14 14:27:49.099510
512,2021-09-14 14:27:49.104494
424,2021-09-14 14:27:49.108495
387,2021-09-14 14:27:49.116496
373,2021-09-14 14:27:49.120497
358,2021-09-14 14:27:49.125502
996,2021-09-14 14:27:49.128499
996,2021-09-14 14:27:49.136557
996,2021-09-14 14:27:49.141508
659,2021-09-14 14:27:49.145507
475,2021-09-14 14:27:49.153506
409,2021-09-14 14:27:49.157508
384,2021-09-14 14:27:49.161508
364,2021-09-14 14:27:49.165509
359,2021-09-14 14:27:49.173511
997,2021-09-14 14:27:49.177513
996,2021-09-14 14:27:49.182514
996,2021-09-14 14:27:49.186516
579,2021-09-14 14:27:49.194516
448,2021-09-14 14:27:49.198518
402,2021-09-14 14:27:49.202519
374,2021-09-14 14:27:49.206520
365,2021-09-14 14:27:49.214521
